"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER2_PART_NUMBER";"MOUSER2_PRICE-STOCK";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";"VENDOR";
"ABSMOTOR_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"ABSON_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"ABSVALVE_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"C1";"1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C2";"10u 25V";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C3";"1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C4";"1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C5";"1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C6";"10u 25V";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C7";"10u 25V";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C8";"10u 25V";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C9";"10u 25V";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"C10";"1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"C";"";
"DASH_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"ECU_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"ENGINE_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"FANS_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"FUEL_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"H1";"MOUNT-PAD-ROUND3.3";"MOUNT-PAD-ROUND3.3";"3,3-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"1";"";"";
"H2";"MOUNT-PAD-ROUND3.3";"MOUNT-PAD-ROUND3.3";"3,3-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"1";"";"";
"H3";"MOUNT-PAD-ROUND3.3";"MOUNT-PAD-ROUND3.3";"3,3-PAD";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"1";"";"";
"H4";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";
"J2";"1722981106";"1722981106";"1722981106";"ULTRAFIT CONN HDR 06CKT";"";"ULTRAFIT CONN HDR 06CKT";"14mm";"Molex";"1722981106";"";"";"";"";"";"";"";
"J3";"8196";"8196";"8196";"Terminal; 10-32; Stainless Steel; 3/8 in.; 0.679 in.; 0.679 in.; Brass; Tin";"";"Terminal";" 10-32";" Stainless Steel";" 3/8 in.";" 0.679 in.";" 0.679 in.";" Brass";" Tin";"11.51mm";"Keystone Electronics";"8196";
"J4";"8196";"8196";"8196";"Terminal; 10-32; Stainless Steel; 3/8 in.; 0.679 in.; 0.679 in.; Brass; Tin";"";"Terminal";" 10-32";" Stainless Steel";" 3/8 in.";" 0.679 in.";" 0.679 in.";" Brass";" Tin";"11.51mm";"Keystone Electronics";"8196";
"J5";"43045-2412";"43045-2412";"43045-2412";"Header 3.00mm, WTB, dual row, vert,24w Molex MICRO-FIT 3.0 Series, Series Number 43045, 3mm Pitch 24 Way 2 Row Shrouded Straight PCB Header, Through Hole";"";"Header 3.00mm, WTB, dual row, vert,24w Molex MICRO-FIT 3.0 Series, Series Number 43045, 3mm Pitch 24 Way 2 Row Shrouded Straight PCB Header, Through Hole";"mm";"Molex";"43045-2412";"";"";"538-43045-2412";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-43045-2412";"";"";"";
"JABSON";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"33";"";"";
"JDASH";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"33";"";"";
"JECU";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"33";"";"";
"JMISC";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"33";"";"";
"JTELE";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"33";"";"";
"MISC_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"Q1";"IPB120P04P4L03ATMA1";"IPB120P04P4L03ATMA1";"PG-TO263-3-2_1";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"mm";"Infineon";"IPB120P04P4L03ATMA1";"";"";"726-IPB120P04P4L03AT";"https://www.mouser.com/Search/Refine.aspx?Keyword=726-IPB120P04P4L03AT";"";"";"";
"Q2";"IPB120P04P4L03ATMA1";"IPB120P04P4L03ATMA1";"PG-TO263-3-2_1";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"mm";"Infineon";"IPB120P04P4L03ATMA1";"";"";"726-IPB120P04P4L03AT";"https://www.mouser.com/Search/Refine.aspx?Keyword=726-IPB120P04P4L03AT";"";"";"";
"Q3";"IPB120P04P4L03ATMA1";"IPB120P04P4L03ATMA1";"PG-TO263-3-2_1";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"mm";"Infineon";"IPB120P04P4L03ATMA1";"";"";"726-IPB120P04P4L03AT";"https://www.mouser.com/Search/Refine.aspx?Keyword=726-IPB120P04P4L03AT";"";"";"";
"Q4";"BUK9K29-100E";"BUK9K29-100E";"SOIC127P605X105-8N";"NPN/PNP high power double bipolar transistor in a SOT1205 (LFPAK56D) Surface Mounted Device (SMD) power plastic package";"";"NPN/PNP high power double bipolar transistor in a SOT1205 (LFPAK56D) Surface Mounted Device (SMD) power plastic package";"1.05mm";"Nexperia";"PHPT610030NPKX";"771-PHPT610030NPKX";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-PHPT610030NPKX";"";"";"";"";"";
"Q5";"NSVT489AMT1G";"NSVT489AMT1G";"SOT95P275X110-6N";"NPN Bipolar Transistor, 2 A 30 V, 6-pin TSOP";"";"NPN Bipolar Transistor, 2 A 30 V, 6-pin TSOP";"1.1mm";"ON Semiconductor";"NSVT489AMT1G";"";"";"863-NSVT489AMT1G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-NSVT489AMT1G";"";"";"";
"Q6";"BUK9K29-100E";"BUK9K29-100E";"SOIC127P605X105-8N";"NPN/PNP high power double bipolar transistor in a SOT1205 (LFPAK56D) Surface Mounted Device (SMD) power plastic package";"";"NPN/PNP high power double bipolar transistor in a SOT1205 (LFPAK56D) Surface Mounted Device (SMD) power plastic package";"1.05mm";"Nexperia";"PHPT610030NPKX";"771-PHPT610030NPKX";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-PHPT610030NPKX";"";"";"";"";"";
"Q7";"BUK9K29-100E";"BUK9K29-100E";"SOIC127P605X105-8N";"NPN/PNP high power double bipolar transistor in a SOT1205 (LFPAK56D) Surface Mounted Device (SMD) power plastic package";"";"NPN/PNP high power double bipolar transistor in a SOT1205 (LFPAK56D) Surface Mounted Device (SMD) power plastic package";"1.05mm";"Nexperia";"PHPT610030NPKX";"771-PHPT610030NPKX";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-PHPT610030NPKX";"";"";"";"";"";
"Q8";"IPB120P04P4L03ATMA1";"IPB120P04P4L03ATMA1";"PG-TO263-3-2_1";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"mm";"Infineon";"IPB120P04P4L03ATMA1";"";"";"726-IPB120P04P4L03AT";"https://www.mouser.com/Search/Refine.aspx?Keyword=726-IPB120P04P4L03AT";"";"";"";
"Q12";"IPB120P04P4L03ATMA1";"IPB120P04P4L03ATMA1";"PG-TO263-3-2_1";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"";"IPB120P04P4L03ATMA1 P-Channel MOSFET, 120 A, 40 V OptiMOS P, 3-Pin D2PAK Infineon";"mm";"Infineon";"IPB120P04P4L03ATMA1";"";"";"726-IPB120P04P4L03AT";"https://www.mouser.com/Search/Refine.aspx?Keyword=726-IPB120P04P4L03AT";"";"";"";
"R1";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R2";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R3";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R4";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R5";"20k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"R";"";
"R6";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"R";"";
"SHIFTER_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"TELEMETRY_F";"3568";"3568";"3568";"Fuse Holder .63 MINI FUSE HOLDER";"";"Fuse Holder .63 MINI FUSE HOLDER";"7.37mm";"Keystone Electronics";"3568";"";"";"534-3568";"https://www.mouser.com/Search/Refine.aspx?Keyword=534-3568";"";"";"";
"U$4";"S10AL-TP";"S10AL-TP";"DIOM7959X265N";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"S10AL-TP";"S10AL-TP";"DIOM7959X265N";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"S10AL-TP";"S10AL-TP";"DIOM7959X265N";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"LM74700QDBVTQ1DBV6-M";"LM74700QDBVTQ1DBV6-M";"DBV6-M";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"LM74700QDBVTQ1";"";"";"";"";"";"";"Texas Instruments";
"U2";"LM74700QDBVTQ1DBV6-M";"LM74700QDBVTQ1DBV6-M";"DBV6-M";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"LM74700QDBVTQ1";"";"";"";"";"";"";"Texas Instruments";
"U3";"LM74700QDBVTQ1DBV6-M";"LM74700QDBVTQ1DBV6-M";"DBV6-M";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"LM74700QDBVTQ1";"";"";"";"";"";"";"Texas Instruments";
"U4";"LM74700QDBVTQ1DBV6-M";"LM74700QDBVTQ1DBV6-M";"DBV6-M";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"LM74700QDBVTQ1";"";"";"";"";"";"";"Texas Instruments";
"U5";"LM74700QDBVTQ1DBV6-M";"LM74700QDBVTQ1DBV6-M";"DBV6-M";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"LM74700QDBVTQ1";"";"";"";"";"";"";"Texas Instruments";
